ID,TI,DO,UR,PY
0,Poor oral Hygiene may be the Sole Cause of Oral Cancer,10.1007/s12663-012-0359-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980507234&doi=10.1007%2fs12663-012-0359-5&partnerID=40&md5=6f269998947d901a4914807fc643078e,2012
1,Attitude of cleft care specialists in africa towards presurgical orthopaedics,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955610868&partnerID=40&md5=14053dfc9904bfe84c52ca2347ed4848,2012
2,Nasofacial indices among children in Southern Nigeria,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875010935&partnerID=40&md5=94de62efa6433e80e7b65ff32d19b8f2,2012
3,"A comparison of chronic periodontitis in HIV-seropositive subjects and the general population in the Ga-Rankuwa Area, South Africa",10.1155/2012/620962,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873349246&doi=10.1155%2f2012%2f620962&partnerID=40&md5=4d7d6f5f280da3ce0f499d532d043c58,2012
4,Halitosis amongst students in tertiary institutions in Lagos state,10.4314/ahs.v12i4.12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873270736&doi=10.4314%2fahs.v12i4.12&partnerID=40&md5=f5a9dbe35fa0ef2608e7d1f3c53a590f,2012
5,"Barriers to oral health care utilization in Ibadan, South West Nigeria",10.4314/ahs.v12i4.17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873249060&doi=10.4314%2fahs.v12i4.17&partnerID=40&md5=65e888bd4596796b089899f6a00f5f9c,2012
6,"Prevalence and factors associated with anterior open bite in 2 to 5 year old children in Benin city, Nigeria",10.4314/ahs.v12i4.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873247367&doi=10.4314%2fahs.v12i4.8&partnerID=40&md5=29a3918fcc63600922c5553cdaa205ee,2012
7,"The assessment of CD4 lymphocyte counts in patients with chronic periodontitis in Benin City, Nigeria",10.1016/S2222-1808(12)60236-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871780795&doi=10.1016%2fS2222-1808%2812%2960236-9&partnerID=40&md5=493058c689f22d4565951360607f8c6c,2012
8,"Illness-related behaviour and sociodemographic determinants of oral health care use in Dabou, Côte d'Ivoire",10.1922/CDH_2710Sangaré07,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860789607&doi=10.1922%2fCDH_2710Sangar%c3%a907&partnerID=40&md5=1da85d0ecff12887d2510b4dc6970e1a,2012
9,Cameroon mid-level providers offer a promising public health dentistry model,10.1186/1478-4491-10-46,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869885548&doi=10.1186%2f1478-4491-10-46&partnerID=40&md5=75abb878a4774632a81c01df70a93af3,2012
10,Socio-demographic and behavioural correlates of oral health related quality of life among tanzanian adults: A national pathfinder survey,10.4314/thrb.v14i3.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868101285&doi=10.4314%2fthrb.v14i3.8&partnerID=40&md5=5d14ff5213be816b9aab7089edb88ae8,2012
11,"Aetiology, pattern and management of oral and maxillofacial injuries at mulago national referral hospital",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955564671&partnerID=40&md5=0a13f3ef30a24d4e0f4fa6916ef7aa69,2012
12,The influence of impaction on the rate of third molar mineralisation in male black Africans,10.1007/s00414-012-0753-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868099810&doi=10.1007%2fs00414-012-0753-z&partnerID=40&md5=9b0224c40ff276cc664a57b6f33bfd0c,2012
13,Oral health of psychiatric patients: The nurse's perspective,10.1111/j.1601-5037.2011.00537.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865854378&doi=10.1111%2fj.1601-5037.2011.00537.x&partnerID=40&md5=c8184a74c15ab628df48730eb059c7fd,2012
14,Technical quality of root canal fillings done in a Nigerian general dental clinic,10.1186/1472-6831-12-42,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867355973&doi=10.1186%2f1472-6831-12-42&partnerID=40&md5=35200bc7bc3ef89becb65ee696391386,2012
15,First report of HIV-related oral manifestations in Mali,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862296308&partnerID=40&md5=6359f978612d4703068afd18fe0f19ae,2012
16,Oral health-related quality of life following non-surgical (routine) tooth extraction: A pilot study,10.4103/0976-237X.107433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079377335&doi=10.4103%2f0976-237X.107433&partnerID=40&md5=0bfad9d08897bdc6596ff20190ec445d,2012
17,Pattern of presentation and management of lip injuries in a Nigerian hospital,10.4103/1119-3077.104520,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871642554&doi=10.4103%2f1119-3077.104520&partnerID=40&md5=dab5418444e445fb45c706a114cd6f75,2012
18,A comparative study of the effect of suture-less and multiple suture techniques on inflammatory complications following third molar surgery,10.1016/j.ijom.2012.04.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865798340&doi=10.1016%2fj.ijom.2012.04.009&partnerID=40&md5=7ae35624d33344b882aac17aa7b5e10a,2012
19,Groundwater fluoride and dental fluorosis in southwestern Nigeria,10.1007/s10653-012-9455-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865434079&doi=10.1007%2fs10653-012-9455-1&partnerID=40&md5=9113e161b43dd072536339c60a4339e3,2012
20,Determinants of periodontal health in pregnant women and association with infants' anthropometric status: a prospective cohort study from Eastern Uganda,10.1186/1471-2393-12-90,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865614912&doi=10.1186%2f1471-2393-12-90&partnerID=40&md5=969d86e360c8c4ba6b778622410fe83e,2012
21,"Maxillofacial soft tissue injuries in Nairobi, Kenya",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965093739&partnerID=40&md5=27ad9a1f31af54de30331abe41a60071,2012
22,"The role of dental practitioners in Provider Initiated HIV Counseling and Testing (PITC) for patients attending dental practices in Harare, Zimbabwe",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940108177&partnerID=40&md5=b426e9b18946602e65dd7469c99961c1,2012
23,Acephalometric investigation of horizontal lip position in adult nigerians,10.1179/1465312512Z.00000000026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870184543&doi=10.1179%2f1465312512Z.00000000026&partnerID=40&md5=e82f20435ab98daa50cfff31e2242493,2012
24,Oral lesions associated with HIV/AIDS in HIV-seropositive patients attending a counselling and treatment centre in Dar es Salaam,10.1111/j.1875-595X.2011.00108.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864627810&doi=10.1111%2fj.1875-595X.2011.00108.x&partnerID=40&md5=9645f4e389be96f787db474eb069f5dd,2012
25,Is healing outcome of 2 weeks intermaxillary fixation different from that of 4 to 6 weeks intermaxillary fixation in the treatment of mandibular fractures?,10.1016/j.joms.2012.04.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863966806&doi=10.1016%2fj.joms.2012.04.006&partnerID=40&md5=749c1eeca847dd2c18b991cdecae82a3,2012
26,"Prevalence and socio-behavioral influence of early childhood caries, ECC, and feeding habits among 6 - 36 months old children in Uganda and Tanzania",10.1186/1472-6831-12-24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864147268&doi=10.1186%2f1472-6831-12-24&partnerID=40&md5=83a20ffa302a944165adc49789241c31,2012
