"Study_ID","ID","Author","Affiliation ID","Affiliation","City","Country","TI","DO","UR","PY","lat","long"
1,3,"Adeyemi A.",60006270,"University of Ibadan","Ibadan","Nigeria","Attitude of cleft care specialists in africa towards presurgical orthopaedics","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955610868&partnerID=40&md5=14053dfc9904bfe84c52ca2347ed4848",2012,7.4470781,3.89349759828948
1,4,"Bankole O.",60006270,"University of Ibadan","Ibadan","Nigeria","Attitude of cleft care specialists in africa towards presurgical orthopaedics","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955610868&partnerID=40&md5=14053dfc9904bfe84c52ca2347ed4848",2012,7.4470781,3.89349759828948
2,5,"Oludiran O.O.",60017980,"University of Benin","Benin","Nigeria","Nasofacial indices among children in Southern Nigeria","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875010935&partnerID=40&md5=94de62efa6433e80e7b65ff32d19b8f2",2012,6.33441425,5.59982711348408
2,6,"Omotoso D.R.",60017980,"University of Benin","Benin","Nigeria","Nasofacial indices among children in Southern Nigeria","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875010935&partnerID=40&md5=94de62efa6433e80e7b65ff32d19b8f2",2012,6.33441425,5.59982711348408
2,7,"Sakpa C.L.",60017980,"University of Benin","Benin","Nigeria","Nasofacial indices among children in Southern Nigeria","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875010935&partnerID=40&md5=94de62efa6433e80e7b65ff32d19b8f2",2012,6.33441425,5.59982711348408
3,10,"Altini M.",60016218,"University of the Witwatersrand, Johannesburg","Johannesburg","South Africa","A comparison of chronic periodontitis in HIV-seropositive subjects and the general population in the Ga-Rankuwa Area, South Africa","10.1155/2012/620962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873349246&doi=10.1155%2f2012%2f620962&partnerID=40&md5=4d7d6f5f280da3ce0f499d532d043c58",2012,-26.19288995,28.0304320979311
3,11,"Fatti P.",60016218,"University of the Witwatersrand, Johannesburg","Johannesburg","South Africa","A comparison of chronic periodontitis in HIV-seropositive subjects and the general population in the Ga-Rankuwa Area, South Africa","10.1155/2012/620962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873349246&doi=10.1155%2f2012%2f620962&partnerID=40&md5=4d7d6f5f280da3ce0f499d532d043c58",2012,-26.19288995,28.0304320979311
4,13,"Arinola J.",60006448,"University of Lagos","Lagos","Nigeria","Halitosis amongst students in tertiary institutions in Lagos state","10.4314/ahs.v12i4.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873270736&doi=10.4314%2fahs.v12i4.12&partnerID=40&md5=f5a9dbe35fa0ef2608e7d1f3c53a590f",2012,6.5119319,3.39367856275101
4,14,"Olukoju O.",60006448,"University of Lagos","Lagos","Nigeria","Halitosis amongst students in tertiary institutions in Lagos state","10.4314/ahs.v12i4.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873270736&doi=10.4314%2fahs.v12i4.12&partnerID=40&md5=f5a9dbe35fa0ef2608e7d1f3c53a590f",2012,6.5119319,3.39367856275101
5,15,"Ajayi D.",60006270,"University of Ibadan","Ibadan","Nigeria","Barriers to oral health care utilization in Ibadan, South West Nigeria","10.4314/ahs.v12i4.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873249060&doi=10.4314%2fahs.v12i4.17&partnerID=40&md5=65e888bd4596796b089899f6a00f5f9c",2012,7.4470781,3.89349759828948
